Ulasan_Bersih
belum di coba tapi semoga cocok di wajah ku untuk mengurangi noda hitam dan mencerahkan wajahku wangi nya juga enak kayak permen
hasil cushion nya flawles banget di wajah ringan hasil akhir nya juga nggak kerasa pakai cushion pori2 ketutup semuapokok cocok deh di wajah klo habis nanti mau coba y
semoga cocok baru pertama kali beli produk g2g wangi nya enak
barang sesuai terimakasih min
packaging nya keren packaging nya keren
puas sekali
dipakaia matte dan gak longsor
mantap sesuai pesanan bagus dan ori g2dglow
produk sesuai
cepet banget sampenya packaging ok tapi produk belom coba smoga cucokkk
produk ya lengkap makin cinta sama g2g thanks you
semoga cocok
recommended
cepet sampai bagus nyaman enak murah gratis ongkir mantap
packinging nya rapi n aman seller ya ramah n cepet respon ya on timetq
sudah k2x ny belnja dsini brng bagus rapih pengepakanya cpt pengirimanya alhamdulillah cocok mantaptrimakasih sukses selalu
pengiriman cepet produk bagus
recomended seller
baguss bangett
cakepp
makasih yah gan
sangat cocok untuk mencerahkan kulit sudah berlangganan dsni
bikin jerawat
barangnya sesuai dengan yg diharapkan cushionnya glow di wajah
lama banget di gudangnya
serum wajahseniga cocok dan wajah makin glowing
sabun cuci muka buat kulit sensitifbelumdi coba
masker anti komedo belumdi coba
