Ulasan
"belum di coba tapi semoga cocok di wajah ku untuk mengurangi noda hitam dan mencerahkan wajahku, wangi nya juga enak kayak permen 😁"
"hasil cushion nya flawles banget di wajah ringan, hasil akhir nya juga nggak kerasa pakai cushion pori2 ketutup semua..pokok cocok deh di wajah klo habis nanti mau coba y..."
"semoga cocok baru pertama kali beli produk g2g, wangi nya enak"
"barang sesuai, terimakasih min 🙏"
packaging nya keren. packaging nya keren.
puas sekali
puas sekali
Dipakaia matte dan gak longsor
mantap sesuai pesanan bagus dan ori g2dglow
produk sesuai
"Cepet banget sampenya 👌👌👌 packaging ok, tapi produk belom coba. smoga cucokkk 🤲🏼"
produk ya lengkap makin cinta sama g2g thanks you
Semoga cocok
Recommended
"Cepet sampai, bagus, nyaman, enak, murah, gratis ongkir. MANTAP"
"packinging nya rapi n aman, seller ya ramah n cepet respon ya, on time..tq"
"sudah k2x ny belnja dsini, brng bagus rapih pengepakanya cpt pengirimanya alhamdulillah cocok mantap👍trimakasih sukses selalu"
Pengiriman cepet produk bagus
recomended seller...
baguss bangett
cakepp
Makasih yah gan.
"sangat cocok untuk mencerahkan kulit, sudah berlangganan dsni"
bikin jerawat
"barangnya sesuai dengan yg diharapkan, cushionnya glow di wajah"
lama banget di gudangnya
serum wajah...seniga cocok dan wajah makin glowing
sabun cuci muka buat kulit sensitif...belum.di coba
masker anti komedo belum.di coba
